Title,Description,Author,Year,MonthDay,Link,ImageLink
How to Perform Exploratory Data Analysis on a Loan Delinquency Problem -Part1,Hello readers!! We are back with another problem on machine learning and this time we are going to consider a numerical problem. Here we will focus on performing Exploratory data,Rounak,2019,Oct 5,https://www.opencodez.com/machine-learning/how-to-perform-exploratory-data-analysis-on-a-loan-delinquency-problem.htm,https://www.opencodez.com/wp-content/uploads/2019/10/Loan-Delinquency-Problem.png
SQL for QA: Tutorial#14 – Triggers,"Triggers are nothing but action / set of actions performed on Tables  or Views when Insert / Delete / Update or Truncate queries are executed. What kind of Actions ,",Supriya,2019,Oct 3,https://www.opencodez.com/software-testing/sql-for-qa-tutorial14-triggers.htm,https://www.opencodez.com/wp-content/uploads/2019/10/SQL-for-QA-Triggers.png
SQL for QA: Tutorial#13 – Stored Functions,"Testing team uses Stored Functions very often to test complex functionalities, mainly where lot of calculations are involved. It is easier to use functions for it than writing long query",Supriya,2019,Sep 26,https://www.opencodez.com/software-testing/sql-for-qa-tutorial13-stored-functions.htm,https://www.opencodez.com/wp-content/uploads/2019/09/SQL-for-QA-Stored-Functions.png
SQL for QA: Tutorial#12 – Stored Procedure,"A Stored Procedure can be used like a modular programming where we must create procedure once, store it and call for several times whenever it is needed. Execution time is",Supriya,2019,Sep 25,https://www.opencodez.com/software-testing/sql-qa-tutorial11-stored-procedure.htm,https://www.opencodez.com/wp-content/uploads/2019/09/SQL-for-QA-Stored-Procedure.png
SQL for QA: Tutorial#11 – Views,"In simple words, View is a ‘Subset’ of  one or multiple tables. A View can be a Virtual Table which contains all OR some of the rows and columns of the",Supriya,2019,Sep 18,https://www.opencodez.com/software-testing/sql-for-qa-tutorial11-views.htm,https://www.opencodez.com/wp-content/uploads/2019/09/Views.png
SQL for QA: Tutorial#10 – Sub Queries,"Sub Query is nothing but a nested query or we can say query within a query. Frankly speaking, I have not used sub queries that often in my 10 years",Supriya,2019,Sep 15,https://www.opencodez.com/software-testing/sql-qa-tutorial10-sub-queries.htm,https://www.opencodez.com/wp-content/uploads/2019/09/Sub-Queries.png
React Native:Tutorial #7 – Top 10 React Native Libraries,"React Native community is huge. Most web developers prefer to learn React Native than two languages for android and iOS. Almost in any development framework, it is really hard to",Pavan,2019,Sep 11,https://www.opencodez.com/react-native/top-10-react-native-libraries.htm,https://www.opencodez.com/wp-content/uploads/2019/09/Top-10-React-Native-libraries.png
React Native:Tutorial #6 – React Native Animation,"One of the best way to improve user experience in mobile application is to use animation. In Android and iOS native development, animation is handled differently. Also, not all animations",Pavan,2019,Sep 9,https://www.opencodez.com/react-native/react-native-animation.htm,https://www.opencodez.com/wp-content/uploads/2019/09/React-Native-Animation.png
React Native:Tutorial #5 – React Native API Integration,React Native API Integration is one of the easiest way to fetch data from a remote urls. You can user the API integration to use not only GET request but we can also,Pavan,2019,Sep 5,https://www.opencodez.com/react-native/react-native-api-integration.htm,https://www.opencodez.com/wp-content/uploads/2019/09/React-Native-API-Integration.png
React Native:Tutorial #4 – React Native UI Components,"In this blog post, we will learn few commonly used React Native UI Components. We can use different types of UI elements in a react-native project. But remember that it",Pavan,2019,Sep 3,https://www.opencodez.com/react-native/react-native-ui-components.htm,https://www.opencodez.com/wp-content/uploads/2019/09/React-Native-UI-Components.png
React Native:Tutorial #3 – Styling React Native App,"Styling is one of the important part of application development. For native android development, XML is used to design the UI. Similarly, for native iOS development, XCode is required. But",Pavan,2019,Sep 1,https://www.opencodez.com/react-native/tutorial-3-styling-react-native-app.htm,https://www.opencodez.com/wp-content/uploads/2019/09/Styling-React-Native-App.png
React Native:Tutorial #2 – React Native Props and State,"‘props’ and ‘state’ are two important concepts in React Native. Using React Native Props and State, we can control one component. In this tutorial, we will learn how to use",Pavan,2019,Aug 29,https://www.opencodez.com/react-native/react-native-props-and-state.htm,https://www.opencodez.com/wp-content/uploads/2019/08/React-Native-Props-and-State-200x200.png
React Native:Tutorial #1 – React Native Introduction,"React was started by Facebook. They have used internally before open-sourced it. With React, we can create component-based architecture for a web application. React native is similar to react. It",Pavan,2019,Aug 28,https://www.opencodez.com/react-native/react-native-introduction.htm,https://www.opencodez.com/wp-content/uploads/2019/08/React-Native-Introduction-200x200.png
Micronaut Framework – Complete Guide with Sample Example,"Micronaut Framework is one of the recently introduced JVM-based framework for building lightweight, modular applications and microservices.  In this article we will briefly take you through some of the Micronaut",Pavan,2019,Aug 21,https://www.opencodez.com/java/introduction-to-micronaut-framework.htm,https://www.opencodez.com/wp-content/uploads/2019/08/Micronaut-150x100.png
Sentiment Analysis of Tweets – Predicting Sentiments using Machine Learning Algorithms,Sentiment Analysis of Tweets: This post is in continuation of the previous article where we created a twitter app and established a connection between R and the Twitter API via the,Rounak,2019,Jul 31,https://www.opencodez.com/machine-learning/sentiment-analysis-tweets-predicting-sentiments-using-machine-learning-algorithms.htm,https://www.opencodez.com/wp-content/uploads/2019/07/Creating-a-Twitter-API-and-fetch-tweets-using-R.png
Sentiment Analysis of Tweets – Connecting to Twitter API +Fetching Tweets using R,"Sentiment Analysis of Tweets: Twitter is a popular source to extract text data related to any product, company, individual or event. Let us consider an example of the Cricket World",Rounak,2019,Jul 26,https://www.opencodez.com/how-to-guide/sentiment-analysis-tweets-creating-twitter-api-fetch-tweets-using-r.htm,https://www.opencodez.com/wp-content/uploads/2019/07/Creating-a-Twitter-API-and-fetch-tweets-using-R.png
Java Creational Design Patterns – Builder Pattern,Builder pattern is one of the Creational design pattern. This pattern uses step by step approach to build a complex object. So we can say this pattern provides easy way,Supriya,2019,Jul 25,https://www.opencodez.com/java/java-creational-design-patterns-builder-pattern.htm,https://www.opencodez.com/wp-content/uploads/2019/07/Builder-Pattern-e1564311744589.png
Top 5 Frameworks for Java Developers,"Java is one of the widely used programming languages. There are many useful Java frameworks available to write any Java-based web and mobile apps, REST APIs and Microservices easily. In",Pavan,2019,Jul 17,https://www.opencodez.com/java/top-5-frameworks-java-developers.htm,https://www.opencodez.com/wp-content/uploads/2019/07/Top-5-Frameworks-for-Java-Developers.png
Java Structural Design Patterns – Proxy Pattern,Do you remember signing your class attendance sheet on behalf of your friend (well of course your teacher doesn’t have to know :)). That is called Proxy. It means “in,Supriya,2019,Jul 10,https://www.opencodez.com/java/java-structural-design-patterns-proxy-pattern.htm,https://www.opencodez.com/wp-content/uploads/2019/07/Proxy-Pattern.png
WebSocket Application With Spring Boot Step By Step – Source Code On GitHub,"WebSocket is used to develop two-way communication between server and browser. For example, in a chat application, if a user sends a message to a different user, the application sends",Pavan,2019,Jul 8,https://www.opencodez.com/java/simple-websocket-application-springboot.htm,https://www.opencodez.com/wp-content/uploads/2019/07/Websocket.png
What is Docker – Complete Docker Tutorial for Beginners,What is Docker ? Why Docker-based applications are gaining popularity rapidly? Docker Platform is used for running an application in any platform easily. If you have developed your application on,Pavan,2019,Jul 1,https://www.opencodez.com/java/beginners-guide-docker-platform.htm,https://www.opencodez.com/wp-content/uploads/2019/06/docker.png
Java Creational Design Patterns – Singleton Pattern,Singleton Pattern is one of the Creational design pattern. The singleton pattern puts restriction on object creation process; it restricts the instantiation of a class to one object. If we,Supriya,2019,Jun 26,https://www.opencodez.com/java/singleton-pattern.htm,https://www.opencodez.com/wp-content/uploads/2019/06/Singleton-Pattern.png
Web Scraping Using Beautiful Soup Word Cloud + Python – Tutorial Part 2,"Web Scraping Using Beautiful Soup: In our previous article, we understood what is Web Scraping? why Web Scraping? Different ways for web scraping and step by step tutorial of Web",Rounak,2019,Jun 24,https://www.opencodez.com/web-development/web-scraping-using-beautiful-soup-word-cloud-part-2.htm,https://www.opencodez.com/wp-content/uploads/2019/06/word-image-13.png
Web Scraping Using Beautiful Soup + Python – Tutorial Part 1,"Web Scraping Using Beautiful Soup: In this article, we will see what is Web Scraping? why Web Scraping? Different ways for web scraping and step by step tutorial of Web",Rounak,2019,Jun 20,https://www.opencodez.com/web-development/web-scraping-using-beautiful-soup-part-1.htm,https://www.opencodez.com/wp-content/uploads/2019/06/Web-Scraping-using-Beautiful-Soup.png
A Beginners Guide to Kotlin,What is Kotlin ? Kotlin is an expressive Open Source Programing Language with Type Interface for Android development which supports Java Virtual Machine. Google has adopted Kotlin as an official,Pavan,2019,Jun 17,https://www.opencodez.com/java/beginners-guide-kotlin.htm,https://www.opencodez.com/wp-content/uploads/2019/06/Kotlin.png
GraphQL Tutorial#6 : 51 Most Imp GraphQL Interview Questions and Answers,"To conclude our 5 Articles Series on GraphQL, here we are providing 51 Most Important and Frequently Asked GraphQL Interview Questions. These questions will be very useful for you to",Pavan,2019,Jun 12,https://www.opencodez.com/web-development/tutorial6-51-imp-graphql-interview-questions-answers.htm,https://www.opencodez.com/wp-content/uploads/2019/06/GraphQL-Interview-Questions.png
GraphQL Tutorial #5 – Introduction to Apollo GraphQL,"In this tutorial, we will learn how to create one full-stack ‘todo’ application using Apollo GraphQL, Node and React. We will use ‘material ui’ library for building the UI in",Pavan,2019,Jun 10,https://www.opencodez.com/web-development/graphql-tutorial-5-introduction-apollo-graphql.htm,https://www.opencodez.com/wp-content/uploads/2019/05/Apollo-GraphQL.png
GraphQL Tutorial #4 – GraphQL Operations,"In this blog post, we are going to discuss three important GraphQL Operations concepts: queries, mutation, and subscription. GraphQL queries are used to fetch data from a GraphQL server, similar",Pavan,2019,Jun 6,https://www.opencodez.com/web-development/tutorial-4-graphql-operations.htm,https://www.opencodez.com/wp-content/uploads/2019/05/GraphQL-Operations.png
GraphQL Tutorial #3 – GraphQL Components,"We can use different languages to implement a GraphQL server. GraphQL is a strongly typed language and it is really important to learn about the type system. Also, even though",Pavan,2019,Jun 4,https://www.opencodez.com/web-development/tutorial-3-graphql-components.htm,https://www.opencodez.com/wp-content/uploads/2019/05/GraphQL-Components.png
GraphQL Tutorial #2 – Setting up a Basic Project in GraphQL,"Introduction: GraphQL is a query language used for APIs. Unlike REST, GraphQL has only one endpoint and client can ask for what is actually required. We can write a GraphQL",Pavan,2019,Jun 2,https://www.opencodez.com/graphql/graphql-tutorial-2-setting-basic-project-graphql.htm,https://www.opencodez.com/wp-content/uploads/2019/05/GraphQL-Setting-Up-Base-Project.png
GraphQL Tutorial #1 – Introduction to GraphQL,Introduction : GraphQL is a query language for your API and it is also a set of server-side runtimes to execute these queries. It is a powerful alternative to the,Pavan,2019,May 31,https://www.opencodez.com/graphql/graphql-tutorial-1-introduction-graphql.htm,https://www.opencodez.com/wp-content/uploads/2019/05/GraphQL.png
A Beginner’s Guide to Microsoft Web Template Studio (VS Code) – Step By Step,"Recently, Microsoft has announced a cross-platform extension for Visual studio code (VSC) called Microsoft Web Template Studio. ‘Web template studio’ provides a developer-friendly wizard to create one full-stack web application.",Pavan,2019,May 29,https://www.opencodez.com/web-development/introduction-microsoft-web-template-studio.htm,https://www.opencodez.com/wp-content/uploads/2019/05/Microsoft-Web-Template-Studio.png
SQL for QA: Tutorial#9 – JOIN Clause,"JOIN clause is used to combine data from two or more tables, after joining it comes as a single set of data and we can call it Result set. Tables",Supriya,2019,May 27,https://www.opencodez.com/software-testing/sql-qa-tutorial9-join-clause.htm,https://www.opencodez.com/wp-content/uploads/2019/05/Join-Clause.png
SQL for QA: Tutorial#8 – UNION Clause,"QAs also use UNION clause frequently if need to do through testing of application functionalities with data. By using the UNION operator, we can combine the results of 2 or",Supriya,2019,May 22,https://www.opencodez.com/software-testing/sql-qa-tutorial8-union-clause.htm,https://www.opencodez.com/wp-content/uploads/2019/05/UNION-Clause.png
SQL for QA: Tutorial#7 – GROUP BY Clause,"The GROUP BY clause is used to organize identical data into groups often with the help of 5 Aggregate functions ie. COUNT, MIN, MAX, AVG, SUM. GROUP BY clause is",Supriya,2019,May 19,https://www.opencodez.com/software-testing/sql-qa-tutorial7-group-clause.htm,https://www.opencodez.com/wp-content/uploads/2019/05/GROUP-BY-Clause.png
SQL for QA: Tutorial#6 – ORDER BY Clause,"In SQL, ORDER BY clause is used to sort the records of the table. It is used with SELECT statement. Using this clause, we can sort the data by Ascending",Supriya,2019,May 10,https://www.opencodez.com/software-testing/sql-qa-tutorial6-order-clause.htm,https://www.opencodez.com/wp-content/uploads/2019/05/ORDER-BY.png
SQL for QA: Tutorial#5 – DELETE Statement,DELETE Statement is used to permanently removes existing records from a given table. Most of the time QAs won’t have permission to perform this command on Development or Production environment.,Supriya,2019,May 8,https://www.opencodez.com/software-testing/sql-qa-tutorial5-delete-statement.htm,https://www.opencodez.com/wp-content/uploads/2019/05/DELETE.png
SQL for QA: Tutorial#4 – UPDATE Statement,UPDATE Statement is also frequently used by Testers and QAs. UPDATE is used to modify already existing records from the database table. In this article we will see how we,Supriya,2019,May 6,https://www.opencodez.com/software-testing/sql-qa-tutorial4-update-statement.htm,https://www.opencodez.com/wp-content/uploads/2019/05/UPDATE.png
Speed up your WordPress Site – No Coding Required – Part 2,"In part 1 Speed up your WordPress Site we showed you how to speed up your site mainly from a front end point of view. That is, by reducing the",Pavan,2019,May 3,https://www.opencodez.com/wordpress/speed-wordpress-site-no-coding-required-part-2.htm,https://www.opencodez.com/wp-content/uploads/2019/05/Speed-up-your-WordPress-Site.png
Speed up your WordPress Site – No Coding Required – Part 1,"In this article, we will show you how to reduce the page load time and Speed up your WordPress Site by disabling unnecessary page bloat and optimizing image size while",Pavan,2019,May 1,https://www.opencodez.com/wordpress/speed-up-your-wordpress-site-part-1.htm,https://www.opencodez.com/wp-content/uploads/2019/05/Speed-up-your-WordPress-Site.png
51 Most Important ReactJS Interview Questions and Answers,"To conclude our 6 Articles Series on ReactJS, here we are providing 51 Most Important and Frequently Asked ReactJSInterview Questions. These questions will be very useful for you to crack",Pavan,2019,Apr 26,https://www.opencodez.com/web-development/51-important-reactjs-interview-questions-answers.htm,https://www.opencodez.com/wp-content/uploads/2019/04/ReactJS-Interview-Questions-and-Answers.png
10 Practical Reasons Why Software Testing / QA is a Good Career Option,If you are fresher and thinking which career to choose? Software Development or Software Testing / QA? Why Software Testing / QA is a good career option? Does Testing have,Shilpa,2019,Apr 23,https://www.opencodez.com/software-testing/10-practical-reasons-software-testing-good-career-option.htm,https://www.opencodez.com/wp-content/uploads/2018/04/Testing-Career-Good-Option.jpg
Unit Testing of Java Application using JUnit with Example – Simple Detailed Guide,"Unit testing is the process of testing individual units or components of the software. With unit testing, the smallest part of the software is tested like a class, method, or",Pavan,2019,Apr 20,https://www.opencodez.com/java/simple-guide-unit-testing-java-application-using-junit.htm,https://www.opencodez.com/wp-content/uploads/2019/04/Junit-1.png
SQL for QA: Tutorial#3 – INSERT INTO Statement,"Many times, QAs don’t find sufficient data in QA environment for testing. So they need to create some dummy data specific to their test cases. They also need to add",Supriya,2019,Apr 19,https://www.opencodez.com/software-testing/sql-qa-tutorial3-insert-statement.htm,https://www.opencodez.com/wp-content/uploads/2019/04/Insert-Statement.png
SQL For QA : Tutorial#2 – Where Clause,"I believe WHERE clause is the most frequently used clause with SELECT statement by QAs. WHERE clause is not a compulsory clause in a SQL query, but a optional one",Supriya,2019,Apr 18,https://www.opencodez.com/software-testing/sql-qa-tutorial2-clause.htm,https://www.opencodez.com/wp-content/uploads/2019/04/Where-Clause-1.png
SQL For QA : Tutorial#1 – Select Query,"The use of SQL is not limited to developers only. If you are a Tester or QA professional, you also need to run some tests against databases, verify data using",Supriya,2019,Apr 17,https://www.opencodez.com/software-testing/sql-for-qa-tutorial-select-query.htm,https://www.opencodez.com/wp-content/uploads/2019/04/SQL-for-QA-1.png
Java Creational Design Patterns – Abstract Factory Pattern,The Abstract Factory Pattern is one of the creational design patterns. We can say Abstract Factory patterns acts as a super-factory which produces other factories. The role of the Abstract Factory is,Supriya,2019,Apr 8,https://www.opencodez.com/java/abstract-factory-pattern.htm,https://www.opencodez.com/wp-content/uploads/2019/04/Abstract-Factory-Pattern.png
Practical Defect Life Cycle followed in IT companies,"12 years back, as an aspiring QA, theoretically, I knew everything about a defect. What defect is? How it is different from an error? But what I didn’t know and",Shilpa,2019,Mar 15,https://www.opencodez.com/software-testing/practical-defect-life-cycle-followed-in-it-companies.htm,https://www.opencodez.com/wp-content/uploads/2019/03/Defect-Life-Cycle.png
Java Structural Design Patterns – Composite Pattern,Composite Pattern is considered as a Structural Design Pattern. This pattern describes a group of objects and treating them as an individual instance of the same type of object because all exhibiting similar functionality.,Pavan,2019,Feb 11,https://www.opencodez.com/java/composite-pattern.htm,https://www.opencodez.com/wp-content/uploads/2019/02/Composite-Pattern.png
Simple Guide to Spark Framework for Microservices,We have discussed the Microservices concepts like What are Microservices? Why to use it? When to use it? in our previous article ” An Introduction to Microservices Architecture” Spark Framework,Pavan,2019,Jan 18,https://www.opencodez.com/java/spark-framework-for-microservices.htm,https://www.opencodez.com/wp-content/uploads/2019/01/Spark_Java_Logo.png
Mendix Low Code – Application Development With Example,"When was the last time as a developer you were able to develop a simple CRUD application in less than 20 mins? Well, you don’t remember it, do you? Mendix low",Pavan,2018,Dec 25,https://www.opencodez.com/web-development/mendix-low-code-platform-rapid-development.htm,https://www.opencodez.com/wp-content/uploads/2018/12/Mendix-Logo.jpg
Java Behavioral Design Patterns – Null Object Pattern,"The Null Object Pattern is one of the behavioral design patterns, it is an object with clear neutral or null behavior. It is called as Null object because by default it does",Supriya,2018,Dec 21,https://www.opencodez.com/java/null-object-pattern.htm,https://www.opencodez.com/wp-content/uploads/2018/12/Null-Object-Pattern-Featured.jpg
